entry_time,exit_time,side,entry_price,exit_price,qty,bars_held,exit_reason,pnl_ticks,gross_pnl_usd,costs_usd,net_pnl_usd
2021-01-06 13:30:00+00:00,2021-01-06 13:33:00+00:00,short,12619.0,12619.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-01-06 14:30:00+00:00,2021-01-06 14:33:00+00:00,short,12571.25,12571.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-01-08 18:27:00+00:00,2021-01-08 18:30:00+00:00,long,12992.0,12985.75,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-01-11 17:57:00+00:00,2021-01-11 18:00:00+00:00,short,12994.25,13000.5,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-01-11 18:18:00+00:00,2021-01-11 18:21:00+00:00,short,12981.5,12981.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-01-12 18:48:00+00:00,2021-01-12 18:51:00+00:00,short,12882.25,12888.5,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-01-12 19:09:00+00:00,2021-01-12 19:12:00+00:00,short,12891.25,12891.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-01-12 19:24:00+00:00,2021-01-12 19:27:00+00:00,short,12875.0,12881.25,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-01-12 19:36:00+00:00,2021-01-12 19:39:00+00:00,short,12885.25,12885.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-01-14 17:06:00+00:00,2021-01-14 17:09:00+00:00,long,12975.5,12969.25,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-01-15 18:00:00+00:00,2021-01-15 18:03:00+00:00,short,12839.5,12839.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-01-15 18:33:00+00:00,2021-01-15 18:36:00+00:00,short,12860.0,12866.25,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-01-25 13:48:00+00:00,2021-01-25 13:57:00+00:00,long,13489.75,13483.5,1,3,stop,-25.0,-125.0,4.5,-129.5
2021-01-27 17:30:00+00:00,2021-01-27 17:33:00+00:00,short,13279.0,13279.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-09 14:12:00+00:00,2021-02-09 14:15:00+00:00,long,13648.75,13642.5,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-02-09 14:27:00+00:00,2021-02-09 14:30:00+00:00,long,13645.5,13645.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-16 14:36:00+00:00,2021-02-16 14:39:00+00:00,short,13825.75,13826.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-17 19:15:00+00:00,2021-02-17 19:18:00+00:00,short,13672.25,13672.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-17 19:27:00+00:00,2021-02-17 19:30:00+00:00,short,13644.75,13645.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-18 18:00:00+00:00,2021-02-18 18:03:00+00:00,short,13543.25,13543.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-19 14:54:00+00:00,2021-02-19 14:57:00+00:00,long,13669.25,13669.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-22 14:33:00+00:00,2021-02-22 14:36:00+00:00,short,13368.5,13368.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-22 15:03:00+00:00,2021-02-22 15:06:00+00:00,short,13421.0,13421.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-23 15:15:00+00:00,2021-02-23 15:18:00+00:00,short,12930.25,12930.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-23 16:18:00+00:00,2021-02-23 16:21:00+00:00,short,13036.5,13036.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-23 16:42:00+00:00,2021-02-23 16:45:00+00:00,short,12987.25,12987.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-02-23 18:39:00+00:00,2021-02-23 18:42:00+00:00,short,13019.25,13025.5,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-02-23 19:33:00+00:00,2021-02-23 19:36:00+00:00,short,13040.5,13046.75,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-03-01 13:36:00+00:00,2021-03-01 13:39:00+00:00,long,13052.75,13052.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-04 14:03:00+00:00,2021-03-04 14:06:00+00:00,short,12658.25,12658.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-04 14:24:00+00:00,2021-03-04 14:27:00+00:00,short,12668.5,12668.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-04 14:42:00+00:00,2021-03-04 14:45:00+00:00,short,12717.5,12717.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-04 17:09:00+00:00,2021-03-04 17:12:00+00:00,short,12699.0,12699.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-10 15:57:00+00:00,2021-03-10 16:00:00+00:00,long,12813.75,12813.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-10 17:45:00+00:00,2021-03-10 17:48:00+00:00,long,12814.5,12814.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-10 17:57:00+00:00,2021-03-10 18:00:00+00:00,long,12826.75,12826.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-11 13:54:00+00:00,2021-03-11 13:57:00+00:00,long,12967.75,12961.5,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-03-11 14:33:00+00:00,2021-03-11 14:36:00+00:00,long,12991.0,12990.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-11 14:48:00+00:00,2021-03-11 14:51:00+00:00,long,12964.75,12958.5,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-03-12 13:42:00+00:00,2021-03-12 13:48:00+00:00,short,12876.75,12877.0,1,2,stop,-1.0,-5.0,4.5,-9.5
2021-03-12 14:45:00+00:00,2021-03-12 14:48:00+00:00,short,12828.0,12834.25,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-03-12 16:33:00+00:00,2021-03-12 16:36:00+00:00,short,12824.75,12825.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-12 17:42:00+00:00,2021-03-12 17:45:00+00:00,short,12886.25,12892.5,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-03-12 18:45:00+00:00,2021-03-12 18:48:00+00:00,short,12878.75,12885.0,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-03-12 19:03:00+00:00,2021-03-12 19:06:00+00:00,short,12877.75,12884.0,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-03-16 17:45:00+00:00,2021-03-16 17:48:00+00:00,long,13202.5,13196.25,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-03-18 16:18:00+00:00,2021-03-18 16:21:00+00:00,short,13002.25,13002.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-23 16:00:00+00:00,2021-03-23 16:03:00+00:00,long,13133.75,13127.5,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-03-25 13:48:00+00:00,2021-03-25 13:51:00+00:00,short,12730.25,12730.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-25 17:00:00+00:00,2021-03-25 17:03:00+00:00,short,12713.5,12719.75,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-03-25 19:12:00+00:00,2021-03-25 19:15:00+00:00,short,12777.75,12784.0,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-03-25 19:54:00+00:00,2021-03-25 19:57:00+00:00,short,12781.0,12781.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-03-30 17:30:00+00:00,2021-03-30 17:33:00+00:00,short,12863.0,12869.25,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-03-31 19:48:00+00:00,2021-03-31 19:51:00+00:00,long,13130.75,13130.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-04-06 17:30:00+00:00,2021-04-06 17:33:00+00:00,long,13561.5,13561.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-04-07 19:21:00+00:00,2021-04-07 19:24:00+00:00,long,13605.75,13599.5,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-04-12 17:15:00+00:00,2021-04-12 17:18:00+00:00,short,13812.5,13818.75,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-04-12 18:21:00+00:00,2021-04-12 18:24:00+00:00,short,13795.25,13795.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-04-16 15:36:00+00:00,2021-04-16 15:39:00+00:00,long,14004.5,13998.25,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-04-19 19:48:00+00:00,2021-04-19 19:51:00+00:00,short,13866.25,13872.5,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-04-20 19:48:00+00:00,2021-04-20 19:51:00+00:00,short,13803.25,13809.5,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-04-27 18:45:00+00:00,2021-04-27 19:00:00+00:00,short,13960.25,13960.5,1,5,stop,-1.0,-5.0,4.5,-9.5
2021-04-27 19:21:00+00:00,2021-04-27 19:24:00+00:00,short,13956.75,13963.0,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-04-29 19:06:00+00:00,2021-04-29 19:09:00+00:00,short,13966.5,13972.75,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-04-29 19:18:00+00:00,2021-04-29 19:21:00+00:00,short,13959.75,13960.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-04-29 19:48:00+00:00,2021-04-29 19:51:00+00:00,short,13951.25,13957.5,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-04-30 14:03:00+00:00,2021-04-30 14:06:00+00:00,short,13887.0,13887.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-04-30 14:36:00+00:00,2021-04-30 14:39:00+00:00,short,13927.75,13928.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-05-04 19:42:00+00:00,2021-05-04 19:45:00+00:00,short,13477.5,13477.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-05-06 17:06:00+00:00,2021-05-06 17:09:00+00:00,short,13552.5,13552.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-05-06 17:18:00+00:00,2021-05-06 17:21:00+00:00,short,13524.0,13524.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-05-06 17:39:00+00:00,2021-05-06 17:42:00+00:00,short,13512.75,13519.0,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-05-07 17:30:00+00:00,2021-05-07 17:33:00+00:00,long,13706.5,13706.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-05-07 18:03:00+00:00,2021-05-07 18:06:00+00:00,long,13689.0,13688.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-05-07 18:24:00+00:00,2021-05-07 18:27:00+00:00,long,13707.5,13701.25,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-05-07 18:48:00+00:00,2021-05-07 18:51:00+00:00,long,13711.25,13711.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-05-07 19:48:00+00:00,2021-05-07 19:51:00+00:00,long,13730.5,13724.25,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-05-14 13:30:00+00:00,2021-05-14 13:33:00+00:00,long,13245.75,13245.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-05-18 17:15:00+00:00,2021-05-18 17:21:00+00:00,short,13344.75,13351.0,1,2,stop,-25.0,-125.0,4.5,-129.5
2021-05-19 13:39:00+00:00,2021-05-19 13:42:00+00:00,short,12993.75,13000.0,1,1,stop,-25.0,-125.0,4.5,-129.5
2021-05-19 14:00:00+00:00,2021-05-19 14:03:00+00:00,short,13015.0,13015.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2021-05-31 13:45:00+00:00,2021-05-31 13:57:00+00:00,short,13669.25,13675.5,1,4,stop,-25.0,-125.0,4.5,-129.5
